Sample,,,,,,,FAD Results,,,NAD Results,,,ADPR Results,,,UDP-GlcNac Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy,RT,Final Conc.,Accuracy
,!,SST,SST_01.d,Sample,,1/12/2024 1:25 PM,5.681,68.0840,,6.721,216.7192,,7.765,238.8138,,7.861,166.9484,
!,!,H2O_Blank,H2O_Blank_01.d,Sample,,1/12/2024 1:45 PM,5.724,0.0000,,6.792,0.1714,,7.751,0.6269,,7.833,0.9697,
,!,20240112_NAD_FAD_MWS_1,20240112_NAD_FAD_MWS_01.d,Sample,,1/12/2024 2:06 PM,5.710,0.0000,,6.736,0.1715,,7.737,0.6207,,7.876,0.9698,
,!,20240112_NAD_FAD_MWS_2,20240112_NAD_FAD_MWS_02.d,Sample,,1/12/2024 2:27 PM,5.738,0.1612,,6.750,3.3053,,7.836,0.6187,,7.862,1.6604,
,!,20240112_NAD_FAD_MWS_3,20240112_NAD_FAD_MWS_03.d,Sample,,1/12/2024 2:47 PM,5.724,0.1414,,6.750,3.3955,,7.652,0.6425,,7.847,1.5984,
!,!,20240112_NAD_FAD_MWS_4,20240112_NAD_FAD_MWS_04.d,Sample,,1/12/2024 3:08 PM,5.724,0.1413,,6.736,3.4439,,7.708,0.6339,,7.847,1.5685,
!,!,20240112_NAD_FAD_MWS_5,20240112_NAD_FAD_MWS_05.d,Sample,,1/12/2024 3:28 PM,5.738,0.1514,,6.736,3.6441,,7.751,0.6304,,7.847,2.1016,
!,!,20240112_NAD_FAD_MWS_6,20240112_NAD_FAD_MWS_06.d,Sample,,1/12/2024 3:49 PM,5.738,0.1492,,6.750,3.0743,,7.779,0.6289,,7.847,1.8581,
!,!,20240112_NAD_FAD_MWS_7,20240112_NAD_FAD_MWS_07.d,Sample,,1/12/2024 4:09 PM,5.738,0.1426,,6.750,3.0191,,7.822,0.6225,,7.847,1.8880,
!,!,20240112_NAD_FAD_MWS_8,20240112_NAD_FAD_MWS_08.d,Sample,,1/12/2024 4:30 PM,5.738,0.1623,,6.750,3.9002,,7.708,0.6420,,7.847,1.8659,
!,!,20240112_NAD_FAD_MWS_9,20240112_NAD_FAD_MWS_09.d,Sample,,1/12/2024 4:50 PM,5.724,0.1529,,6.750,3.6221,,7.794,0.6392,,7.862,1.7700,
,!,20240112_NAD_FAD_MWS_10,20240112_NAD_FAD_MWS_10.d,Sample,,1/12/2024 5:11 PM,5.724,0.1456,,6.736,3.5498,,7.652,0.6401,,7.847,1.6959,
!,!,20240112_NAD_FAD_MWS_11,20240112_NAD_FAD_MWS_11.d,Sample,,1/12/2024 5:31 PM,5.738,0.1565,,6.750,3.3397,,7.794,0.6347,,7.847,1.5551,
!,!,20240112_NAD_FAD_MWS_12,20240112_NAD_FAD_MWS_12.d,Sample,,1/12/2024 5:51 PM,5.738,0.1367,,6.736,3.3030,,7.794,0.6273,,7.847,1.5169,
!,!,20240112_NAD_FAD_MWS_13,20240112_NAD_FAD_MWS_13.d,Sample,,1/12/2024 6:12 PM,5.724,0.1311,,6.736,3.2649,,7.808,0.6249,,7.847,1.5226,
!,!,20240112_NAD_FAD_MWS_14,20240112_NAD_FAD_MWS_14.d,Sample,,1/12/2024 6:32 PM,5.738,0.1600,,6.750,2.4582,,7.765,0.6687,,7.847,2.3367,
,!,20240112_NAD_FAD_MWS_15,20240112_NAD_FAD_MWS_15.d,Sample,,1/12/2024 6:53 PM,5.724,0.1456,,6.736,1.6699,,7.794,0.6378,,7.847,1.6408,
!,!,20240112_NAD_FAD_MWS_16,20240112_NAD_FAD_MWS_16.d,Sample,,1/12/2024 7:13 PM,5.724,0.1379,,6.750,1.8018,,7.822,0.6381,,7.847,1.6069,
!,!,20240112_NAD_FAD_MWS_17,20240112_NAD_FAD_MWS_17.d,Sample,,1/12/2024 7:34 PM,5.738,0.1683,,6.750,2.5170,,7.779,0.6683,,7.862,2.3514,
,!,20240112_NAD_FAD_MWS_18,20240112_NAD_FAD_MWS_18.d,Sample,,1/12/2024 7:54 PM,5.738,0.1615,,6.750,2.4815,,7.723,0.6834,,7.862,2.1417,
!,!,20240112_NAD_FAD_MWS_19,20240112_NAD_FAD_MWS_19.d,Sample,,1/12/2024 8:15 PM,5.738,0.1440,,6.764,2.2013,,7.794,0.6834,,7.862,1.8795,
,!,20240112_NAD_FAD_MWS_20,20240112_NAD_FAD_MWS_20.d,Sample,,1/12/2024 8:35 PM,5.738,0.1648,,6.750,3.4252,,7.836,0.6214,,7.847,1.6033,
,!,20240112_NAD_FAD_MWS_21,20240112_NAD_FAD_MWS_21.d,Sample,,1/12/2024 8:56 PM,5.724,0.1428,,6.750,3.6417,,7.708,0.6481,,7.862,1.5467,
!,!,20240112_NAD_FAD_MWS_22,20240112_NAD_FAD_MWS_22.d,Sample,,1/12/2024 9:16 PM,5.724,0.1367,,6.750,3.2451,,7.765,0.6290,,7.862,1.5534,
!,!,20240112_NAD_FAD_MWS_23,20240112_NAD_FAD_MWS_23.d,Sample,,1/12/2024 9:37 PM,5.724,0.1216,,6.764,2.4712,,7.751,0.6638,,7.862,2.3397,
,!,20240112_NAD_FAD_MWS_24,20240112_NAD_FAD_MWS_24.d,Sample,,1/12/2024 9:57 PM,5.724,0.1417,,6.750,1.7345,,7.751,0.6659,,7.862,1.6335,
!,!,20240112_NAD_FAD_MWS_25,20240112_NAD_FAD_MWS_25.d,Sample,,1/12/2024 10:17 PM,5.724,0.1360,,6.750,1.8330,,7.779,0.6630,,7.861,1.6109,
!,!,20240112_NAD_FAD_MWS_26,20240112_NAD_FAD_MWS_26.d,Sample,,1/12/2024 10:38 PM,5.724,0.1559,,6.750,2.5363,,7.779,0.6324,,7.847,2.2989,
!,!,20240112_NAD_FAD_MWS_27,20240112_NAD_FAD_MWS_27.d,Sample,,1/12/2024 10:58 PM,5.724,0.1575,,6.750,2.3286,,7.794,0.6483,,7.847,1.9715,
!,!,20240112_NAD_FAD_MWS_28,20240112_NAD_FAD_MWS_28.d,Sample,,1/12/2024 11:19 PM,5.724,0.1470,,6.764,2.3210,,7.765,0.6421,,7.847,1.9140,
!,!,H2O_Blank,H2O_Blank_02.d,Sample,,1/12/2024 11:39 PM,5.809,0.0000,,6.778,0.1709,,7.794,0.6148,,7.805,0.9692,
,!,20240112_NAD_FAD_MWS_29,"20240112_NAD_FAD_Std_0,01.d",Cal,1,1/13/2024 12:00 AM,5.724,0.0076,76.3,6.764,0.1837,1837.1,7.765,0.6168,6167.8,7.876,0.9800,9800.1
,!,20240112_NAD_FAD_MWS_30,"20240112_NAD_FAD_Std_0,025.d",Cal,2,1/13/2024 12:20 AM,5.710,0.0249,99.7,6.750,0.2021,808.3,7.751,0.6292,2516.9,7.876,0.9913,3965.1
,!,20240112_NAD_FAD_MWS_31,"20240112_NAD_FAD_Std_0,05.d",Cal,3,1/13/2024 12:41 AM,5.724,0.0525,105.1,6.750,0.2335,467.0,7.737,0.6685,1337.0,7.847,1.0177,2035.3
,!,20240112_NAD_FAD_MWS_32,"20240112_NAD_FAD_Std_0,1.d",Cal,4,1/13/2024 1:01 AM,5.710,0.1079,107.9,6.750,0.2903,290.3,7.737,0.7132,713.2,7.847,1.0636,1063.6
,!,20240112_NAD_FAD_MWS_33,"20240112_NAD_FAD_Std_0,25.d",Cal,5,1/13/2024 1:22 AM,5.710,0.2687,107.5,6.750,0.4601,184.0,7.765,0.8727,349.1,7.861,1.1880,475.2
,!,20240112_NAD_FAD_MWS_34,"20240112_NAD_FAD_Std_0,5.d",Cal,6,1/13/2024 1:42 AM,5.710,0.5139,102.8,6.750,0.7045,140.9,7.765,1.0931,218.6,7.847,1.3881,277.6
,!,20240112_NAD_FAD_MWS_35,20240112_NAD_FAD_Std_1.d,Cal,7,1/13/2024 2:03 AM,5.710,1.0184,101.8,6.750,1.2396,124.0,7.765,1.5215,152.1,7.861,1.7617,176.2
,!,20240112_NAD_FAD_MWS_36,"20240112_NAD_FAD_Std_2,5.d",Cal,8,1/13/2024 2:23 AM,5.710,2.5067,100.3,6.750,2.6874,107.5,7.765,2.8403,113.6,7.876,2.8473,113.9
,!,20240112_NAD_FAD_MWS_37,20240112_NAD_FAD_Std_5.d,Cal,9,1/13/2024 2:44 AM,5.724,4.9343,98.7,6.750,4.7704,95.4,7.765,4.7435,94.9,7.861,4.5461,90.9
,!,20240112_NAD_FAD_MWS_38,20240112_NAD_FAD_Std_10.d,Cal,10,1/13/2024 3:04 AM,5.724,9.4467,94.5,6.750,8.8347,88.3,7.765,8.4766,84.8,7.862,7.9083,79.1
,,20240112_NAD_FAD_MWS_39,20240112_NAD_FAD_Std_25.d,Cal,11,1/13/2024 3:24 AM,5.710,25.0839,100.3,6.750,23.9068,95.6,7.765,22.5457,90.2,7.861,21.0616,84.2
,,20240112_NAD_FAD_MWS_40,20240112_NAD_FAD_Std_50.d,Cal,12,1/13/2024 3:45 AM,5.710,51.4211,102.8,6.750,51.0591,102.1,7.779,47.9090,95.8,7.861,46.9796,94.0
,!,20240112_NAD_FAD_MWS_41,20240112_NAD_FAD_Std_100.d,Cal,13,1/13/2024 4:05 AM,5.710,92.4911,92.5,6.750,99.8628,99.9,7.765,101.8048,101.8,7.861,102.7018,102.7
,!,H2O_Blank,H2O_Blank_03.d,Sample,,1/13/2024 4:26 AM,5.724,0.0000,,6.736,0.1708,,7.708,0.6257,,7.847,0.9693,
